conselho ;conselheiro;setor;posicao;entidade
Saúde;Abdu Neme Jorge Makhluf Neto ;Poder Público;Titular;Secretaria Municipal de Saúde
Saúde;Sávio Sabóia da Fonseca;Poder Público;Suplente;Secretaria Municipal de Saúde
Saúde;José Felipe Quintanilha França;Poder Público;Titular;Representante do Poder Executivo
Saúde;Ralph Ferreira de Noronha Oliveira;Poder Público;Suplente;Representante do Poder Executivo
Saúde;Cíntia Ferrini Farias;Poder Público;Titular;Representante do Poder Executivo
Saúde;Fernanda Gomes de Vasconcellos Sales;Poder Público;Suplente;Representante do Poder Executivo
Saúde;Elisa Lima mayerhoffer Peralva;Poder Público;Titular;Representante do Poder Executivo
Saúde;José Carlos Henrique Alves ;Poder Público;Suplente;Representante do Poder Executivo
Saúde;Valéria Corrêa Lopes;Poder Público;Titular;Representante do Poder Executivo
Saúde;Jarbas da Fonseca Carneiro Júnior;Poder Público;Suplente;Representante do Poder Executivo
Saúde;Geraldo Augusto Pinto Venâncio;Mercado;Titular;Fundação Benedito Pereira Nunes/Hospital Escola Álvaro Alvim
Saúde;Flávio Persilva Hoelzle;Mercado;Suplente;Fundação Benedito Pereira Nunes/Hospital Escola Álvaro Alvim
Saúde;Jorge Luiz de Almeida Miranda;Mercado;Titular;Sociedade Portuguesa de Beneficência de Campos
Saúde;Marco Antônio Gomes Velloso de Carvalho;Mercado;Suplente;Sociedade Portuguesa de Beneficência de Campos
Saúde;Benedito Waldyr Pohl;Mercado;Titular;"Associação Fluminense de Assistência à Mulher, à Criança e ao Idoso/ Hospital
Plantadores de Cana"
Saúde;Almir Quitete de Lima Filho;Mercado;Suplente;"Associação Fluminense de Assistência à Mulher, à Criança e ao Idoso/ Hospital
Plantadores de Cana"
Saúde;Cléber Glória Silva;Mercado;Titular;Santa Casa de Misericórdia de Campos
Saúde;Paulo Roberto Pereira;Mercado;Suplente;Santa Casa de Misericórdia de Campos
Saúde;Eliete Maria Alves do Rosário ;Terceiro Setor;Titular;Liga Espírita de Campos/Hospital Abrigo Dr. João Viana
Saúde;Edmar Cruz Teixeira;Terceiro Setor;Suplente;Liga Espírita de Campos/Hospital Abrigo Dr. João Viana
Saúde;José Roberto Crespo de Souza;Sociedade Civil;Titular;Sindicato dos Médicos de Campos – SIMEC
Saúde;Giovanni Lhamas Coelho;Sociedade Civil;Suplente;Sindicato dos Médicos de Campos – SIMEC
Saúde;Valdir dos Santos Rodrigues Filho;Sociedade Civil;Titular;Sindicato dos Empregados em Estabelecimento de Serviços de Saúde - SES
Saúde;Ilsom Martins de Azevedo;Sociedade Civil;Suplente;Sindicato dos Empregados em Estabelecimento de Serviços de Saúde - SES
Saúde;Antônia Rodrigues Corrêa;Sociedade Civil;Titular;"Sindicato dos Trabalhadores no Combate às Endemias e Saúde Preventiva no
Estado do RJ - SINTSAÚDE"
Saúde;Amaro Michel Bissonho Calil;Sociedade Civil;Suplente;"Sindicato dos Trabalhadores no Combate às Endemias e Saúde Preventiva no
Estado do RJ - SINTSAÚDE"
Saúde;Abel da Silva Santos;Sociedade Civil;Titular;Conselho Regional de Fisioterapia e Terapia Ocupacional 2ª Região - CREFITO
Saúde;Elizabeth Neves Fernandes Miquilito;Sociedade Civil;Suplente;Conselho Regional de Fisioterapia e Terapia Ocupacional 2ª Região - CREFITO
Saúde;Vanda Terezinha Vasconcelos;Mercado;Titular;SFMC - Associação Fluminense de Medicina e Cirurgia
Saúde;Ana Paula Galvão Baptista;Mercado;Suplente;SFMC - Associação Fluminense de Medicina e Cirurgia
Saúde;Shirley Rangel Gomes;Mercado;Titular;Sociedade Universitária Redentor
Saúde;Gutielle Carvalhal Botelho Bustilho Faria;Mercado;Suplente;Sociedade Universitária Redentor
Saúde;Edilbert Pellegrini Nahn Júnior;Mercado;Titular;Fundação Benedito Pereira Nunes/ Faculdade de Medicina de Campos
Saúde;Luiz Clóvis Parente Soares;Mercado;Suplente;Fundação Benedito Pereira Nunes/ Faculdade de Medicina de Campos
Saúde;Helena Kiyomi Hokamura;Poder Público;Titular;Universidade Estadual do Norte Fluminense Professor Darcy Ribeiro - UENF
Saúde;Leonardo Serafim da Silveira;Poder Púbico;Suplente;Universidade Estadual do Norte Fluminense Professor Darcy Ribeiro - UENF
Saúde;Bárbara de Oliveira Figueiredo;Poder Púbico;Titular;Instituto Federal Fluminense - IFF
Saúde;Paula Clark Barreto;Poder Púbico;Suplente;Instituto Federal Fluminense - IFF
Saúde;Viviane Aparecida Siqueira Lopes;Poder Púbico;Titular;Universidade Federal Fluminense – UFF
Saúde;Maria Clélia Pinto Coelho;Poder Púbico;Suplente;Universidade Federal Fluminense – UFF
Saúde;Edgard Andrade Corrêa ;Terceiro Setor;Titular;Mocidade Espírita Emille Des Touches - MEEDT - LAR CRISTÃO
Saúde;Francielli Moreira e Silva Acácio  ;Terceiro Setor;Suplente;Mocidade Espírita Emille Des Touches - MEEDT - LAR CRISTÃO
Saúde;Vânia Cristina Coutinho de Souza;Sociedade Civil;Titular;Associação de Ostomizados de Campos dos Goytacazes
Saúde;Luiz Sérgio de Carvalho;Sociedade Civil;Suplente;Associação de Ostomizados de Campos dos Goytacazes
Saúde;Rosimara Andrade de Souza;Sociedade Civil;Titular;Instituto de Desenvolvimento Afro Noroeste Fluminense
Saúde;Luciana Pereira Muniz;Sociedade Civil;Suplente;Instituto de Desenvolvimento Afro Noroeste Fluminense
Saúde;Jair Araújo Júnior;Sociedade Civil;Titular;Sindicato dos Professores de Campos e São João da Barra – SINPRO - RJ
Saúde;Vera Lúcia Ribeiro Félix;Sociedade Civil;Suplente;Sindicato dos Professores de Campos e São João da Barra – SINPRO - RJ
Saúde;Estevão Souza de Azevedo;Sociedade Civil;Titular;"Associação Cultural, Educacional e Esportiva para a Saúde e Qualidade de
Vida do Idoso/ Projeto Mangabinha"
Saúde;Wilson Paes Júnior;Sociedade Civil;Suplente;"Associação Cultural, Educacional e Esportiva para a Saúde e Qualidade de
Vida do Idoso/ Projeto Mangabinha"
Saúde;Ricardo Luiz da Silva Araújo;Sociedade Civil;Titular;Associação Monsenhor Severino
Saúde;Rossini Peralva Neto;Sociedade Civil;Suplente;Associação Monsenhor Severino
Saúde;Renildo Santiago Goulart;Sociedade Civil;Titular;"Associação dos Crônicos Renais e Transplantados do Norte e Noroeste do
Estado do Rio de Janeiro – ACRETERJ"
Saúde;João Acácio Filho;Sociedade Civil;Suplente;"Associação dos Crônicos Renais e Transplantados do Norte e Noroeste do
Estado do Rio de Janeiro – ACRETERJ"
Saúde;Maria José serafim Jorge de Oliveira ;Sociedade Civil;Titular;Movimento Campista da Cultura Negra – MCPCN
Saúde;Rosemery Nascimento Silva;Sociedade Civil;Suplente;Movimento Campista da Cultura Negra – MCPCN
Saúde;Jordecy Rocha;Sociedade Civil;Titular;Associação de Moradores e Amigos do Parque Nova Brasília - AMAPNB
Saúde;Sérgio Luís Rocha Ritter;Sociedade Civil;Suplente;Associação de Moradores e Amigos do Parque Nova Brasília - AMAPNB
Saúde;João Paulo da Costa Cunha;Sociedade Civil;Titular;"Sindicato dos Trabalhadores nas Indústrias Metalúrgicas e de Material
Elétrico de Campos dos Goytacazes, São João da Barra e Quissamã"
Saúde;Hernandes Passos Virginio;Sociedade Civil;Suplente;"Sindicato dos Trabalhadores nas Indústrias Metalúrgicas e de Material
Elétrico de Campos dos Goytacazes, São João da Barra e Quissamã"
Saúde;Cinézio Sales Manhães Filho;Sociedade Civil;Titular;Júnior Chamber International – JCI Campos dos Goytacazes
Saúde;Lucas Santos Siqueira Santana;Sociedade Civil;Suplente;Júnior Chamber International – JCI Campos dos Goytacazes
Saúde;Ricardo Gonçalves de Carvalho;Sociedade Civil;Titular;Instituto de Ação Social – IASA
Saúde;Jacques Douglas Pinto Lopes;Sociedade Civil;Suplente;Instituto de Ação Social – IASA
Saúde;Ronald de Souza Pereira;Sociedade Civil;Titular;"Sindicato dos Profissionais Servidores Públicos Municipais de Campos dos
Goytacazes"
Saúde;Sérgio de Azevedo Almeida;Sociedade Civil;Suplente;"Sindicato dos Profissionais Servidores Públicos Municipais de Campos dos
Goytacazes - SIPROSEP"
Saúde;Sebastiana Abreu dos Santos da Silva;Sociedade Civil;Titular;Mitra Diocesana de Campos/ Paróquia Santa Teresinha
Saúde;Alex Gomes da Motta;Sociedade Civil;Suplente;Mitra Diocesana de Campos/ Paróquia Santa Teresinha
Saúde;Rodrigo Ferreira Pereira;Sociedade Civil;Titular;Sindicato dos Hotéis Restaurantes Costa Doce do Estado do Rio de Janeiro
Saúde;Claudia de Jesus Barreto de Carvalho;Sociedade Civil;Suplente;Sindicato dos Hotéis Restaurantes Costa Doce do Estado do Rio de Janeiro
Saúde;Gerson Ferreira Maciel ;Sociedade Civil;Titular;"Associação Norte Fluminense dos Portadores de Retinose Pigmentar -
ANFLUPREP"
Saúde;Ester Fabiana Cordeiro Matias;Sociedade Civil;Suplente;"Associação Norte Fluminense dos Portadores de Retinose Pigmentar -
ANFLUPREP"
Saúde;Izabela Appolinário de Souza;Terceiro Setor;Titular;Associação Raízes
Saúde;Ketelle dos Santos de Souza;Terceiro Setor;Suplente;Associação Raízes
Saúde;Aderbal da Paixão Gomes de Souza;Terceiro Setor;Titular;Associação Viva Música
Saúde;Patrick Bruno da Rosa Manhães;Terceiro Setor;Suplente;Associação Viva Música
Saúde;Gina Cláudia Pereira Chácar Rangel;Sociedade Civil;Titular;Igreja Batista do Flamboyant
Saúde;João Manoel Rangel ;Sociedade Civil;Suplente;Igreja Batista do Flamboyant
Saúde;Tiago Flávio Lisboa Telles Ferreira;Terceiro Setor;Titular;Serviço de Assistência São José Operário
Saúde;Raul Ferrarez;Terceiro Setor;Suplente;Serviço de Assistência São José Operário
Educação;Brand Arenari;Poder Público;presidente;Secretaria Municipal de Educação, Cultura e Esporte (SMECE)
Educação;Rafael Pinheiro Caetano Damasceno;Poder Público;vice-presidente;Secretaria Municipal de Educação, Cultura e Esporte (SMECE)
Educação;Jane de Azevedo Andrade;Poder Público;Titular;Secretaria Municipal de Educação, Cultura e Esporte (SMECE)
Educação;Regina Auxiliadora Lannes Barreto Pereira;Poder Público;Suplente;Secretaria Municipal de Educação, Cultura e Esporte (SMECE)
Educação;Joilza Rangel Abreu;Poder Público;Titular;Câmara Municipal de Campos dos Goytacazes
Educação;Álvaro César Gomes Faria;Poder Público;Suplente;Câmara Municipal de Campos dos Goytacazes
Educação;Rosana Corrêa Juncá;Poder Público;Titular;SINEPE (Sindicato dos Estabelecimentos Particulares de Ensino)
Educação;Anizete Évio de Souza Viana;Poder Público;Suplente;SINEPE (Sindicato dos Estabelecimentos Particulares de Ensino)
Educação;Maria Cristina Torres Lima;Poder Público;Titular;FCJOL (Fundação Cultural Jornalista Oswaldo Lima)
Educação;Vinicius Soares Barbosa;Poder Público;Suplente;FCJOL (Fundação Cultural Jornalista Oswaldo Lima)
Educação;Maria Rita Fundão Maciel;Poder Público;Titular;FMIJ (Fundação Municipal da Infância e da Juventude)
Educação;Denise Cardoso Alves;Poder Público;Suplente;FMIJ (Fundação Municipal da Infância e da Juventude)
Educação;Fábio Gustavo Viana Siqueira;Sociedade Civil;Titular;SINPRO (Sindicato dos Professores das Escolas Particulares de Campos)
Educação;Vera Lúcia Ribeiro Félix;Sociedade Civil;Suplente;SINPRO (Sindicato dos Professores das Escolas Particulares de Campos)
Educação;Tânia Silva Sá Viana;Poder Público;Titular;Diretores das Escolas Públicas Municipais
Educação;Patrícia Cristosan;Poder Público;Suplente;Diretores das Escolas Públicas Municipais
Educação;Odisseia Pinto de Carvalho;Sociedade Civil;Titular;SEPE (Sindicato Estadual dos Profissionais da Educação)
Educação;Graciete Santana Nogueira Nunes;Sociedade Civil;Suplente;SEPE (Sindicato Estadual dos Profissionais da Educação)
Educação;Patrícia de Paula Baía;Sociedade Civil;Titular;Associação de Pais de Alunos de Escolas Municipais
Educação;Patrícia Ferreira de Carvalho;Sociedade Civil;Suplente;Associação de Pais de Alunos de Escolas Municipais
Educação;Francisco Carlos Faria Bernardino;Sociedade Civil;Titular;FAMAC (Federação das Associações de Moradores e Amigos de Campos)
Educação;Carina da Silva Gomes;Sociedade Civil;Suplente;FAMAC (Federação das Associações de Moradores e Amigos de Campos)
Educação;Isabel Cristina Pinto Pinheiro;Sociedade Civil;Titular;SIPROSEP (Sindicato dos Profissionais Servidores Públicos Municipais)
Educação;Otávia Dias;Sociedade Civil;Suplente;SIPROSEP (Sindicato dos Profissionais Servidores Públicos Municipais)
Educação;Jefferson Manhães de Azevedo;Sociedade Civil;Titular;FIDESC (Fórum Interinstitucional dos Dirigentes do Ensino Superior de Campos dos Goytacazes)
Educação;Saionara Rosa da Cruz;Sociedade Civil;Suplente;FIDESC (Fórum Interinstitucional dos Dirigentes do Ensino Superior de Campos dos Goytacazes)
Educação;Heloisa Helena Queiroz Rocha Pacheco da Silva;Sociedade Civil;Titular;Pedagogos da Rede Municipal de Ensino
Educação;Francione de França Fonseca;Sociedade Civil;Suplente;Pedagogos da Rede Municipal de Ensino
Educação;Odete Pereira da Rocha;Poder Público;Titular;CAE (Conselho de Alimentação Escolar)
Educação;Helmar Amorim de Souza Oliveira;Poder Público;Suplente;CAE (Conselho de Alimentação Escolar)
Assistência Social;Renato Gonçalves dos Santos;Sociedade Civil;Titular;Centro Juvenil São Pedro
Assistência Social;Débora de Paula Souza Inácio;Sociedade Civil;Suplente;Centro Juvenil São Pedro
Assistência Social;Ricardo Luiz da Silva Araújo;Sociedade Civil;Titular;Monsenhor Severino
Assistência Social;Marcelo Pizani Boldes;Sociedade Civil;Suplente;Monsenhor Severino
Assistência Social;Cintia Dutra da Silva Bensi;Sociedade Civil;Titular;APOE
Assistência Social;Hilda Márcia Soares Monteiro;Sociedade Civil;Suplente;APOE
Assistência Social;Francisco de Assis do Nascimento;Sociedade Civil;Titular;Movimento dos Trabalhadores Rurais Sem Terra  (MST)
Assistência Social;Jorge Luiz Dias Machado;Sociedade Civil;Suplente;Movimento dos Trabalhadores Rurais Sem Terra  (MST)
Assistência Social;Bruna Machel da Silva Moraes Azevedo;Sociedade Civil;Titular;Movimento Resista Campos
Assistência Social;Cristiane Gomes Monteiro;Sociedade Civil;Titular;Associação dos Moradores da Margem da Linha
Assistência Social;Ângela Maria Correa Pereira;Sociedade Civil;Suplente;Associação dos Moradores da Margem da Linha
Assistência Social;Érica Gomes Martins;Sociedade Civil;Titular;Coletivo de Mulheres Quilombolas “As Dandaras do ABC”
Assistência Social;Tatiana da Costa Gomes;Sociedade Civil;Suplente;Coletivo de Mulheres Quilombolas “As Dandaras do ABC”
Assistência Social;Janaína Monteiro Alves Mandu;Sociedade Civil;Titular;CRESS
Assistência Social;Eliana Monteiro Feres;Sociedade Civil;Suplente;CRESS
Assistência Social;Ketnen Rose Medeiros Barreto;Sociedade Civil;Titular;UFF
Assistência Social;Liliane Cardoso D`Almeida;Sociedade Civil;Suplente;UFF
Assistência Social;Ederton Quemel Rossini;Sociedade Civil;Titular;CRP
Assistência Social;Luciana Fernandes Caldas;Sociedade Civil;Suplente;CRP
Assistência Social;Elma Coelho Nunes Sizenando;Poder Público ;Titular;Secretaria Municipal de Desenvolvimento Humano e Social
Assistência Social;Aline Maria S. C. Giovannini;Poder Público ;Suplente;Secretaria Municipal de Desenvolvimento Humano e Social
Assistência Social;Diovane Rodrigues Gonçalves;Poder Público ;Titular;Coordenadoria de Defesa Civil
Assistência Social;Marcio Ribeiro Leandro;Poder Público ;Suplente;Coordenadoria de Defesa Civil
Assistência Social;Amanda Aparecida Passalini;Poder Público ;Titular;Secretaria Municipal de Educação, Cultura e Esporte
Assistência Social;Eliane Nogueira Gomes;Poder Público ;Suplente;Secretaria Municipal de Educação, Cultura e Esporte
Assistência Social;Rogério Matoso;Poder Público ;Titular;Superintendência de Trabalho e Renda
Assistência Social;Patrícia Nani Beyruth;Poder Público ;Suplente;Superintendência de Trabalho e Renda
Assistência Social;Natália Chalita Ribeiro;Poder Público ;Titular;Secretaria Municipal de Saúde
Assistência Social;Laura Burla Maciel;Poder Público ;Suplente;Secretaria Municipal de Saúde
Assistência Social;Alonso Bartolazzi Barbosa;Poder Público ;Titular;Secretaria Municipal de Governo
Assistência Social;Heitor Andrade Gomes Carvalho dos Santos;Poder Público ;Suplente;Secretaria Municipal de Governo
Assistência Social;Thiago Nunes Pimentel;Poder Público ;Titular;Secretaria Municipal de Defesa Ambiental
Assistência Social;Raquel Viana Siqueira;Poder Público ;Suplente;Secretaria Municipal de Defesa Ambiental
Assistência Social;Beatriz Mateus Pereira;Poder Público ;Titular;Fundação Municipal da Infância e Juventude- FMIJ
Assistência Social;Natália Campolino Moussallem;Poder Público ;Suplente;Fundação Municipal da Infância e Juventude- FMIJ
Assistência Social;Fernando Antonio Leite Cabral Loureiro;Poder Público ;Titular;Secretaria Municipal da Transparência e Controle
Assistência Social;Mônica de Souza Gomes;Poder Público ;Suplente;Secretaria Municipal da Transparência e Controle
Assistência Social;João Victor de Lima Coutinho Gomes de Vasconcelos;Poder Público ;Titular;EMHAB- Empresa Municipal de Habitação, Urbanização e Saneamento
Assistência Social;Maria Helena de Souza Pereira;Poder Público ;Suplente;EMHAB- Empresa Municipal de Habitação, Urbanização e Saneamento
Segurança Alimentar e Nutricional;José Armando Ribeiro Barreto;Poder Público;Titular;Gabinete do Prefeito
Segurança Alimentar e Nutricional;Marcel Cardoso e Cardoso;Poder Público;Suplente;Gabinete do Prefeito
Segurança Alimentar e Nutricional;Carlos Ronald Macabu;Poder Público;Titular;Secretaria Municipal de Desenvolvimento Ambiental
Segurança Alimentar e Nutricional;Diogo Sodré Figueiredo Ferreira;Poder Público;Suplente;Secretaria Municipal de Desenvolvimento Ambiental
Segurança Alimentar e Nutricional;Marcia Valéria Soares Assad;Poder Público;Titular;Secretaria Municipal de Desenvolvimento Humano e Social
Segurança Alimentar e Nutricional;Danielle da Cunha Lessa Quillici;Poder Público;Suplente;Secretaria Municipal de Desenvolvimento Humano e Social
Segurança Alimentar e Nutricional;Jaqueline dos Santos Paes Andrade;Poder Público;Titular;Secretaria Municipal de Educação
Segurança Alimentar e Nutricional;Fabíola Caldeira Ferreira;Poder Público;Suplente;Secretaria Municipal de Educação
Segurança Alimentar e Nutricional;Paulo Honorato;Sociedade Civil;Titular;Sindicato dos Trabalhadores Rurais
Segurança Alimentar e Nutricional;Valquiria Rocha Servo;Sociedade Civil;Suplente;Sindicato dos Trabalhadores Rurais
Segurança Alimentar e Nutricional;Elenilson do Espírito Santo;Sociedade Civil;Titular;Associação de Pesca  (APACG)
Segurança Alimentar e Nutricional;Patrícia Xavier Honorato;Sociedade Civil;Titular;Associação Quilombola e Produtores Rurais de Aleluia, Batatal e Cambucá
Segurança Alimentar e Nutricional;Tatiana dos Santos Almeida;Sociedade Civil;Suplente;Associação Quilombola e Produtores Rurais de Aleluia, Batatal e Cambucá
Segurança Alimentar e Nutricional;Maria de Lourdes Cruz Nascimento Magno;Sociedade Civil;Titular;Associação do Remanescentes do Quilombo de Sossego  (ARQUIS)
Segurança Alimentar e Nutricional;Amaro da Silva Lopes;Sociedade Civil;Suplente;Associação do Remanescentes do Quilombo de Sossego  (ARQUIS)
Segurança Alimentar e Nutricional;Lucimara Pereira Muniz;Sociedade Civil;Titular;Instituto de Desenvolvimento Afro Norte Noroeste Fluminense (IDANNF)
Segurança Alimentar e Nutricional;Luciana Pereira Muniz;Sociedade Civil;Suplente;Instituto de Desenvolvimento Afro Norte Noroeste Fluminense (IDANNF)
Segurança Alimentar e Nutricional;Érica Gomes Martins;Sociedade Civil;Titular;Associação Cultural dos Povos da Águas do Campo da Cidade (ACUPACC)
Segurança Alimentar e Nutricional;Sueli da Silva;Sociedade Civil;Suplente;Associação Cultural dos Povos da Águas do Campo da Cidade (ACUPACC)
Segurança Alimentar e Nutricional;Francisco de Assis do Nascimento;Sociedade Civil;Titular;Movimento dos Trabalhadores Rurais Sem Terra  (MST)
Segurança Alimentar e Nutricional;David Barbosa do Nascimento;Sociedade Civil;Suplente;Movimento dos Trabalhadores Rurais Sem Terra  (MST)
Segurança Alimentar e Nutricional;Mauro Macedo Campos;sociedade Civil;Titular;Universidade Estadual do Norte Fluminense (UENF)
Segurança Alimentar e Nutricional;Geraldo Márcio Timóteo;Sociedade Civil;Suplente;Universidade Estadual do Norte Fluminense (UENF)
Segurança Alimentar e Nutricional;Fabíola Teixeira Azevedo;Sociedade Civil;Titular;Faculdade Redentor de Campos
Segurança Alimentar e Nutricional;Marcia Aparecida Vieira Mussi;Sociedade Civil;Suplente;Faculdade Redentor de Campos
Segurança Alimentar e Nutricional;Ricardo Cabral da Cruz;Sociedade Civil;Titular;Instituto Solar Brasil de Desenvolvimento (ISOBRAS)
Segurança Alimentar e Nutricional;Sandro Abreu Cezário;Sociedade Civil;Suplente;Instituto Solar Brasil de Desenvolvimento (ISOBRAS)
Segurança Alimentar e Nutricional;Kamyla de Souza Morgade;Sociedade Civil;Titular;Associação de Pais de Pessoas Especiais  (APAPE)
Segurança Alimentar e Nutricional;Gelson Sebastião;Sociedade Civil;Titular;Associação de Mordores de Produtores do Assentamento Zumbi dos Palmares I-II-III-IV  (AMPAZUP)
Segurança Alimentar e Nutricional;José Roberto Damaceno Portela;Sociedade Civil;Titular;Associação de Produtores Rurais Assentados e Filhos de Assentados (APRAFAN3)
Segurança Alimentar e Nutricional;Sandro Abreu Cezário;Sociedade Civil;Titular;Instituto Palmares
Direitos da Mulher;Manuelli Batista Ramos;Sociedade Civil;Titular;Movimento Negro Unificado
Direitos da Mulher;Patrícia Dias Silva dos Santos;Sociedade Civil;Suplente;Movimento Negro Unificado
Direitos da Mulher;Lorena Belo Ferreira;Sociedade Civil;Titular;Coletivo LGBTQ+ Gaytacazes
Direitos da Mulher;Tayna Santos Conceição;Sociedade Civil;Suplente;Coletivo LGBTQ+ Gaytacazes
Direitos da Mulher;Rosa Maria Moreira Sales;Sociedade Civil;Titular;Fórum de religiões Afro-brasileiras
Direitos da Mulher;Laisses Vânia dos Santos Rangel;Sociedade Civil;Suplente;Fórum de religiões Afro-brasileiras
Direitos da Mulher;Tatiana da Silva;Sociedade Civil;Titular;Rede produtiva quilombola
Direitos da Mulher;Patrícia Xavier Honorato;Sociedade Civil;Suplente;Rede produtiva quilombola
Direitos da Mulher;Alciléia dos Santos R. do Rosário ;Sociedade Civil;Titular;Coletivo Raízes da Terra
Direitos da Mulher;Maria José Serafin Jorge;Sociedade Civil;Suplente;Coletivo Raízes da Terra
Direitos da Mulher;Rosângela Moreira de Azevedo;Sociedade Civil;Titular;Associação Mangabinha
Direitos da Mulher;Mara Regina Santos Pereira;Sociedade Civil;Suplente;Associação Mangabinha
Direitos da Mulher;Iara Silva Lima Alexandrino;Sociedade Civil;Titular;As Marias da Baixada
Direitos da Mulher;Eliana da Silva Goulart;Sociedade Civil;Suplente;As Marias da Baixada
Direitos da Mulher;Jéssica Cristina Álvaro de Oliveira;Sociedade Civil;Titular;Coletivo Negro José do Patrocínio
Direitos da Mulher;Anna Caroline dos Santos Tomaz;Sociedade Civil;Suplente;Coletivo Negro José do Patrocínio
Direitos da Mulher;Rosângela Gomes Paulo;Sociedade Civil;Titular;Associação de Enfermagem (AENNF)
Direitos da Mulher;Ilídia Campos da Cunha;Sociedade Civil;Suplente;Associação de Enfermagem (AENNF)
Direitos da Mulher;Valquiria Rocha Servo;Sociedade Civil;Titular;Sindicato dos trabalhadores rurais de Campos
Direitos da Mulher;Ângela da Costa Barreto;Sociedade Civil;Suplente;Sindicato dos trabalhadores rurais de Campos
Direitos da Mulher;Thaís Siqueira Gomes;Sociedade Civil;Titular;Fórum de economia solidária
Direitos da Mulher;Nilza Franco Portela;Sociedade Civil;Suplente;Fórum de economia solidária
Direitos da Mulher;Anne Caroline Afonso F. R. Cardoso;Poder Público;Titular;Secretaria Municipal de Desenvolvimento Humano e Social
Direitos da Mulher;Leísia Crespo Rossi;Poder Público;Suplente;Secretaria Municipal de Desenvolvimento Humano e Social
Direitos da Mulher;Elisa Mayerhoffer Peralva;Poder Público;Titular;Secretaria Municipal de Saúde
Direitos da Mulher;Giselle da Silva Escocard;Poder Público;Suplente;Secretaria Municipal de Saúde
Direitos da Mulher;Ana Márcia Mercadante Scot;Poder Público;Titular;Secretaria Municipal de Educação, cultura e Esporte
Direitos da Mulher;Karina Silva Marques Nunes de Souza;Poder Público;Titular;Fundação Municipal da Infância e Juventude- FMIJ
Direitos da Mulher;Natália Campolino Moussallem;Poder Público;Suplente;Fundação Municipal da Infância e Juventude- FMIJ
Direitos da Mulher;Christiane Mazzini Villar Ribeiro;Poder Público;Titular;Superintendência do Envelhecimento saudável e ativo
Direitos da Mulher;Mariá de Azevedo Lyrio Barreto;Poder Público;Suplente;Superintendência do Envelhecimento saudável e ativo
Direitos da Mulher;Romarilda Ismênia Monteiro de Barros;Poder Público;Titular;Superintendência Municipal de trabalho e renda
Direitos da Mulher;Tatiana Botelho Sampaio;Poder Público;Titular;Superintendência de justiça e assistência judiciária
Direitos da Mulher;Rosana Rosa Ribeiro;Poder Público;Suplente;Superintendência de justiça e assistência judiciária
Direitos da Mulher;Simone Pedro Vieira;Poder Público;Titular;Superintendência de Igualdade Racial
Direitos da Mulher;Flávia Barreto Sales;Poder Público;Titular;Instituto Municipal de Trânsito e Transportes - IMTT
