conselho ;conselheiro;setor;posicao;entidade
Direitos da Mulher;Letícia de Almeida Neto;Poder Público;Suplente;Instituto Municipal de Trânsito e Transportes - IMTT
Direitos da Mulher;Juliana Gonçalves Manhães dos Reis;Poder Público;Titular;Superintendência Municipal de Agricultura e pecuária 
Direitos da Mulher;Cinara Souza de Oliveira Santos;Poder Público;Suplente;Superintendência Municipal de Agricultura e pecuária 
Direitos da Mulher;Josiane Lima Borges Viana;Poder Público;Titular;Legislativo municipal
Direitos da Mulher;Joilza Rangel Abreu;Poder Público;Suplente;Legislativo municipal
Inclusão da Pessoa com Deficiencia;Renato Barbosa Vieira;Poder Público;Titular;Secretaria Municipal de Desenvolvimento Humano e Social
Inclusão da Pessoa com Deficiencia;Cristiane Cardoso de Oliveira Ressiguier;Poder Público; Suplente;Secretaria Municipal de Desenvolvimento Humano e Social
Inclusão da Pessoa com Deficiencia;Paulo Roberto Pereira Gomes;Poder Público;Titular;Fundação Municipal da Infância e da Juventude
Inclusão da Pessoa com Deficiencia;João Luiz de Mello e Silva;Poder Público; Suplente;Fundação Municipal da Infância e da Juventude
Inclusão da Pessoa com Deficiencia;Fábio Gonçalves Coboski;Poder Público;Titular;Fundação Municipal do Esporte
Inclusão da Pessoa com Deficiencia;Nayne Tamy Barreto Neves;Poder Público; Suplente;Fundação Municipal do Esporte
Inclusão da Pessoa com Deficiencia;Ana Paula Pessanha Cordeiro;Poder Público;Titular;Secretaria Municipal de Saúde
Inclusão da Pessoa com Deficiencia;Sandro César Said Mucci;Poder Público; Suplente;Secretaria Municipal de Saúde
Inclusão da Pessoa com Deficiencia;Gilce Maria de Almeida Sales Cruz;Poder Público;Titular;Secretaria Municipal da Transparência e Controle
Inclusão da Pessoa com Deficiencia;Maria Angélica Rocha Gama;Poder Público; Suplente;Secretaria Municipal da Transparência e Controle
Inclusão da Pessoa com Deficiencia;Alexis Wallace Sardinha;Poder Público;Titular;Superintendência de Justiça e Assistência Judiciária
Inclusão da Pessoa com Deficiencia;Antônio Julião Pinheiro Neto;Poder Público; Suplente;Superintendência de Justiça e Assistência Judiciária
Inclusão da Pessoa com Deficiencia;Wandick Lobo Neto;Poder Público;Titular;Empresa Municipal de Habitação – EMHAB
Inclusão da Pessoa com Deficiencia;Maria Helena de Souza Pereira;Poder Público; Suplente;Empresa Municipal de Habitação – EMHAB
Inclusão da Pessoa com Deficiencia;Romarilda Ismênia Monteiro de Barros;Poder Público;Titular;Superintendência de Trabalho e Renda
Inclusão da Pessoa com Deficiencia;Luiz Vagner Cunha Henriques;Poder Público; Suplente;Superintendência de Trabalho e Renda
Inclusão da Pessoa com Deficiencia;Beatriz Cruz Siqueira;Poder Público;Titular;Secretaria Municipal de Educação, Cultura e Esporte
Inclusão da Pessoa com Deficiencia;Karla Boa Morte;Poder Público; Suplente;Secretaria Municipal de Educação, Cultura e Esporte
Inclusão da Pessoa com Deficiencia;Lídia Maria Tavares Martins;Poder Público;Titular;Secretaria Municipal de Infraestrutura e Mobilidade Urbana
Inclusão da Pessoa com Deficiencia;Ingrid faria do Espírito santo Pessanha;Poder Público; Suplente;Secretaria Municipal de Infraestrutura e Mobilidade Urbana
Inclusão da Pessoa com Deficiencia;Marilane Ferreira do Amaral Pessanha;Sociedade Civil;Titular;Associação de Pais e Amigos dos Excepcionais/APAE – Campos
Inclusão da Pessoa com Deficiencia;Merilane Lopes Barreto;Sociedade Civil; Suplente;Associação de Pais e Amigos dos Excepcionais/APAE – Campos
Inclusão da Pessoa com Deficiencia;Naira Regina de Barros Cordeiro Peçanha;Sociedade Civil;Titular;Associação de Pais e de Pessoas Especiais do Norte e Noroeste/RJ – APAPE
Inclusão da Pessoa com Deficiencia;Paula Barreto Muniz;Sociedade Civil; Suplente;Associação de Pais e de Pessoas Especiais do Norte e Noroeste/RJ – APAPE
Inclusão da Pessoa com Deficiencia;Maria José Mendonça Rosmaninho de Pinho;Sociedade Civil;Titular;Associação de Proteção e Orientação aos Excepcionais – APOE
Inclusão da Pessoa com Deficiencia;Josilane Gomes Ribeiro Fernandes de Azevedo;Sociedade Civil; Suplente;Associação de Proteção e Orientação aos Excepcionais – APOE
Inclusão da Pessoa com Deficiencia;Alessandro Martins Guimarães;Sociedade Civil;Titular;Associação não Governamental Esporte Sem Fronteiras
Inclusão da Pessoa com Deficiencia;Maurício Leonardo de Souza Lemos;Sociedade Civil; Suplente;Associação não Governamental Esporte Sem Fronteiras
Inclusão da Pessoa com Deficiencia;Angélica Pereira Barreto;Sociedade Civil;Titular;Serviço de Assistência São José Operário – Educandário dos Cegos
Inclusão da Pessoa com Deficiencia;Geovana Gomes Neves;Sociedade Civil; Suplente;Serviço de Assistência São José Operário – Educandário dos Cegos
Inclusão da Pessoa com Deficiencia;Marcelo Alves Manhães;Sociedade Civil;Titular;ONG Esporte Sem Fronteira
Inclusão da Pessoa com Deficiencia;Sérgio Bonifácio;Sociedade Civil; Suplente;ONG Esporte Sem Fronteira
Inclusão da Pessoa com Deficiencia;Márcia Christina de Souza Justiniano;Sociedade Civil;Titular;APAE
Inclusão da Pessoa com Deficiencia;Regina Célia Carvalho de Azevedo;Sociedade Civil; Suplente;APAE
Inclusão da Pessoa com Deficiencia;Adriana Costa Mothé;Sociedade Civil;Titular;APAPE
Inclusão da Pessoa com Deficiencia;Gabrielly Monteiro Manhães;Sociedade Civil; Suplente;APAPE
Inclusão da Pessoa com Deficiencia;Alcilea Lugath da Conceição;Sociedade Civil;Titular;APOE
Inclusão da Pessoa com Deficiencia;Thamirys da Silva de Souza;Sociedade Civil; Suplente;APOE
Inclusão da Pessoa com Deficiencia;Alcemir da Cruz Belmiro;Sociedade Civil;Titular;Associação São José Operário
Inclusão da Pessoa com Deficiencia;Edson Cordeiro Pacheco;Sociedade Civil; Suplente;Associação São José Operário
Direitos do Idoso;Jucirema Quintanilha Cardim;Sociedade Civil;Titular;Grupo de Convivência da Terceira Idade Direma Quintanilha (Farol de São Thomé)
Direitos do Idoso;José Pereira;Sociedade Civil;Suplente;Grupo de Convivência da Terceira Idade Direma Quintanilha (Farol de São Thomé)
Direitos do Idoso;Gilda Maria Gomes Peixoto;Sociedade Civil;Titular;Grupo da Terceira Idade Unidos do Farol de São Thomé
Direitos do Idoso;Milton Peixoto;Sociedade Civil;Suplente;Grupo da Terceira Idade Unidos do Farol de São Thomé
Direitos do Idoso;Maria José Rocha Ricardo;Sociedade Civil;Titular;Grupo de Convivência Lírios da Paz
Direitos do Idoso;Maria Elisa Ferreira de Jesus;Sociedade Civil;Suplente;Grupo de Convivência Lírios da Paz
Direitos do Idoso;Benedito de Jesus dos Santos Braga;Sociedade Civil;Titular;Projeto Mangabinha
Direitos do Idoso;José Eduardo Ferreira Caetano;Sociedade Civil;Suplente;Projeto Mangabinha
Direitos do Idoso;Ricardo da Silva Araújo;Sociedade Civil;Titular;Associação Monsenhor Severino
Direitos do Idoso;Marcelo Pizane Boldes;Sociedade Civil;Suplente;Associação Monsenhor Severino
Direitos do Idoso;Amaro dos Santos Cruz;Sociedade Civil;Titular;Associação de Aposentados e Pensionistas - ASCAPEN
Direitos do Idoso;Edná Sales;Sociedade Civil;Suplente;Associação de Aposentados e Pensionistas - ASCAPEN
Direitos do Idoso;Marta Aparecida Vieira;Sociedade Civil;Titular;Conselho Regional de Enfermagem - COREN
Direitos do Idoso;Antônio Carlos Rodrigues dos Santos;Sociedade Civil;Suplente;Conselho Regional de Enfermagem - COREN
Direitos do Idoso;Rosalee Santos Crespo Istoe;Sociedade Civil;Titular;Universidade Estadual do Norte Fluminense - UENF
Direitos do Idoso;Fernanda Gonçalves Fernandes;Sociedade Civil;Suplente;Universidade Estadual do Norte Fluminense - UENF
Direitos do Idoso;Laura Burla Maciel;Poder Público;Titular;Secretaria Municipal de Saúde
Direitos do Idoso;Nathália Chalita Ribeiro;Poder Público;Suplente;Secretaria Municipal de Saúde
Direitos do Idoso;Carla Aparecida Gomes de Azeredo;Poder Público;Titular;Secretaria Municipal de Desenvolvimento Humano e Social
Direitos do Idoso;Bianca da Silva Ferreira;Poder Público;Suplente;Secretaria Municipal de Desenvolvimento Humano e Social
Direitos do Idoso;Alciene Azeredo de Souza;Poder Público;Titular;Superintendência de Envelhecimento Saudável e Ativo
Direitos do Idoso;Oresten Soares de Almeida Júnior;Poder Público;Suplente;Superintendência de Envelhecimento Saudável e Ativo
Direitos do Idoso;Mary Lúcia do Espírito Santo Pessanha;Poder Público;Titular;Secretaria Municipal de Educação, Cultura e Esportes
Direitos do Idoso;Ana Paula P. Oliveira Cordeiro;Poder Público;Suplente;Secretaria Municipal de Educação, Cultura e Esportes
Direitos do Idoso;Antônio Julião Pinheiro Neto;Poder Público;Titular;Superintendência de Justiça e Assistência Judiciária
Direitos do Idoso;Renato Dumas de Oliveira;Poder Público;Suplente;Superintendência de Justiça e Assistência Judiciária
Direitos do Idoso;Rogério Fernandes Ribeiro Gomes;Poder Público;Titular;Superintendência de Trabalho e Renda
Direitos do Idoso;Luiz Vagner Cunha Henriques;Poder Público;Suplente;Superintendência de Trabalho e Renda
Direitos do Idoso;Carlos Alberto Pessanha Dias;Poder Público;Titular;Fundação Municipal de Esporte
Direitos do Idoso;Wellington Passos;Poder Público;Suplente;Fundação Municipal de Esporte
Direitos do Idoso;Maria Cristina Torres Lima;Poder Público;Titular;Fundação Cultural Jornalista Oswaldo Lima
Direitos do Idoso;Filipe Godoy Azeredo;Poder Público;Suplente;Fundação Cultural Jornalista Oswaldo Lima
Criança e adolescente;Sana Gimenes Alvarenga Domingues;Poder Público;Titular;Fundação Municipal da Infância e da Juventude
Criança e adolescente;Bernardo Berbert Molina;Poder Público;Suplente;Fundação Municipal da Infância e da Juventude
Criança e adolescente;Kátia Beatriz Azevedo V. Noronha;Poder Público;Titular;Fundação Municipal da Infância e da Juventude
Criança e adolescente;Iohana Fernanda Carneiro Barreto;Poder Público;Suplente;Fundação Municipal da Infância e da Juventude
Criança e adolescente;Maria Auxiliadora de Sousa Pourbaix;Poder Público;Titular;Secretaria Municipal de Educação, Cultura e Esportes
Criança e adolescente;Maria Júlia Nunes Andrade;Poder Público;Suplente;Secretaria Municipal de Educação, Cultura e Esportes
Criança e adolescente;Fábio Gomes de Freitas Bastos;Poder Público;Titular;Secretaria Municipal de Governo
Criança e adolescente;Ricardo da Silva Viana;Poder Público;Suplente;Superintendência de Igualdade Racial
Criança e adolescente;Daniela Vivas Gonçalves;Poder Público;Titular;Secretaria Municipal de Governo
Criança e adolescente;Maria de Jesus Abílio Nogueira;Poder Público;Suplente;Secretaria Municipal de Governo
Criança e adolescente;Cláudio Freitas Artiles;Poder Público;Titular;Fundação Municipal de Esportes
Criança e adolescente;Gilce Maria de Almeida Sales Cruz;Poder Público;Suplente;Secretaria Municipal da Transparência e Controle
Criança e adolescente;Rogério Fernandes Ribeiro Gomes;Poder Público;Titular;Superintendência de Trabalho e Renda
Criança e adolescente;Marcelo de Carvalho Barreto;Poder Público;Suplente;Superintendência de Trabalho e Renda
Criança e adolescente;Bianca da Silva Firmino Ferreira;Poder Público;Titular;Secretaria Municipal de Desenvolvimento Humano e Social
Criança e adolescente;Beatriz Mateus Pereira;Poder Público;Suplente;Fundação Municipal da Infância e da Juventude
Criança e adolescente;Luzia Medeiros da Silva;Sociedade civil;Titular;Instituto Profissional São José
Criança e adolescente;Anderson Esteves da Silva;Sociedade civil;Suplente;Fundação CDL
Criança e adolescente;Juliana Escocard Lopes Terra;Sociedade civil;Titular;Obra do Salvador
Criança e adolescente;Luciana Custódio Soares;Sociedade civil;Suplente;Lar Fabiano de Cristo
Criança e adolescente;Renato Gonçalves dos Santos;Sociedade civil;titular;Centro Juvenil São Pedro
Criança e adolescente;Merilane Lopes Barreto;Sociedade civil;Suplente;Associação de Pais e Amigos dos Excepcionais/APAE – Campos
Criança e adolescente;Jerusa Raquel dos Santos Ferreira Guedes Farias;Sociedade civil;titular;Serviço de Assistência São José Operário
Criança e adolescente;Fernanda Azeredo Caldas Coutinho;Sociedade civil;Suplente;APOE
Criança e adolescente;Fernando César Gomes ;Sociedade civil;titular;Associação Evangélica de Campos
Criança e adolescente;Carlos Lima Alves;Sociedade civil;Suplente;Comunidade Evangélica Presbiteriana – Santa Rosa
Criança e adolescente;Paulo Santos Freitas Júnior;Sociedade civil;titular;CRESS
Criança e adolescente;Evelyn Rebouças de Gouvêa;Sociedade civil;Suplente;CRP
Criança e adolescente;Elson da Silva Leal;Sociedade civil;Titular;PHS
Cultura;Sarah Cristina Costa Pereira;Poder Público;Titular;Secretaria Municipal de Educação, Cultura e Esportes
Cultura;Karina Barra Gomes;Poder Público;Suplente;Secretaria Municipal de Educação, Cultura e Esportes
Cultura;Hans Muylaert;Poder Público;Titular;Secretaria Municipal de Desenvolvimento Econômico
Cultura;Maria Aparecida Praxedes da Penha;Poder Público;Suplente;Secretaria Municipal de Desenvolvimento Econômico
Cultura;Maria Cristina Torres Lima;Poder Público;Titular;Fundação Cultural Jornalista Oswaldo Lima
Cultura;Fernando Leite Fernandes;Poder Público;Suplente;Fundação Cultural Jornalista Oswaldo Lima
Cultura;Maurício de Moura Caldas Xexéo;Poder Público;Titular;Biblioteca Municipal Nilo Peçanha
Cultura;Vera Lúcia Carvalho de Oliveira;Poder Público;Suplente;Biblioteca Municipal Nilo Peçanha
Cultura;Carlos Roberto Bastos Freitas;Poder Público;Titular;Arquivo Público Municipal “Waldir Pinto de Carvalho”
Cultura;Rafaela Machado Ribeiro;Poder Público;Suplente;Arquivo Público Municipal “Waldir Pinto de Carvalho”
Cultura;Pedro Lincoln Bastos Bessa;Poder Público;Titular;Teatro Municipal Trianon
Cultura;Rodrigo Espinosa Andrade;Poder Público;Suplente;Teatro Municipal Trianon
Cultura;Rogério Soares de Siqueira;Poder Público;Titular;Superintendência de Igualdade Racial
Cultura;Simonne Pedro Vieira;Poder Público;Suplente;Superintendência de Igualdade Racial
Cultura;Graziela Escocard Ribeiro;Poder Público;Titular;Museu Histórico de Campos dos Goytacazes
Cultura;Denise Gonçalves Diniz;Poder Público;Suplente;Museu Histórico de Campos dos Goytacazes
Cultura;Eleonora Peçanha Paes;Poder Público;Titular;Secretaria Municipal de Desenvolvimento Humano e Social
Cultura;Ramon Terra de Siqueira;Poder Público;Suplente;Secretaria Municipal de Desenvolvimento Humano e Social
Cultura;Cláudia Siqueira Alvarenga Ferreira;Poder Público;Titular;Procuradoria Geral do Município
Cultura;Izabele Sardinha Costa;Poder Público;Suplente;Procuradoria Geral do Município
Cultura;José Carlos Gonçalves Monteiro;Poder Público;Titular;Câmara Municipal de Campos dos Goytacazes
Cultura;Cláudio Nogueira Andrade Filho;Poder Público;Suplente;Câmara Municipal de Campos dos Goytacazes
Cultura;Paulo Roberto Gonçalves;Sociedade civil;Titular;Artes de Rua
Cultura;Takna Mendonça Formaggini;Sociedade civil;Suplente;Artes de Rua
Cultura;Cássio Leandro Moreira Peixoto;Sociedade civil;Titular;Artes Visuais
Cultura;Wellington Cordeiro;Sociedade civil;Suplente;Artes Visuais
Cultura;Joilson Bessa da Silva;Sociedade civil;Titular;Áudiovisual
Cultura;Humberto Moreira Rangel;Sociedade civil;Suplente;Áudiovisual
Cultura;Marcelo Pereira de Carvalho Sampaio;Sociedade civil;Titular;Cultura Popular
Cultura;Elzana da Silva Pereira;Sociedade civil;Suplente;Cultura Popular
Cultura;Mariana de Freitas Fagundes;Sociedade civil;Titular;Coletivos Culturais
Cultura;Tarianne da Silva Pinto Bertoza;Sociedade civil;Suplente;Coletivos Culturais
Cultura;Sylvia Marcia da Silva Paes;Sociedade civil;Titular;Dança
Cultura;Rossini Reis;Sociedade civil;Suplente;Dança
Cultura;Kátia Macabu de Sousa Soares;Sociedade civil;Titular;Gestão Cultural
Cultura;Iara de Souza Lima;Sociedade civil;Suplente;Gestão Cultural
Cultura;Elis de Araújo Miranda;Sociedade civil;Titular;Instituições de Ensino
Cultura;Jonas Defante Terra;Sociedade civil;Suplente;Instituições de Ensino
Cultura;Ronaldo Henrique Barbosa Júnior;Sociedade civil;Titular;Literatura
Cultura;Vilmar Ferreira Rangel;Sociedade civil;Suplente;Literatura
Cultura;Anderson Luiz Barreto da Silva;Sociedade civil;Titular;Música
Cultura;Peterson Lobato Azevedo;Sociedade civil;Suplente;Música
Cultura;Humberto Fernandes;Sociedade civil;Titular;Patrimônio Histórico
Cultura;Edmilson Antônio Mota;Sociedade civil;Suplente;Patrimônio Histórico
Cultura;Fabrício da Silva Simões;Sociedade civil;Titular;Teatro
Cultura;Liana Macabu de Sousa Soares;Sociedade civil;Suplente;Teatro
ALIMENTAÇÃO ESCOLAR ;Wagner de Paula Almeida Pereira;Poder Público;titular;REPRESENTANTES DO PODER EXECUTIVO
ALIMENTAÇÃO ESCOLAR ; Alessandra Frasnelli Faria;Poder Público;Suplente;REPRESENTANTES DO PODER EXECUTIVO
ALIMENTAÇÃO ESCOLAR ;Ilbenir Pessanha Crespo;Sociedade civil;titular;REPRESENTANTES DA SOCIEDADE CIVIL
ALIMENTAÇÃO ESCOLAR ;Ricardo Gonçalves de Carvalho;Sociedade civil;Suplente;REPRESENTANTES DA SOCIEDADE CIVIL
ALIMENTAÇÃO ESCOLAR ;Rosana Corrêa Juncá;Sociedade civil;titular;REPRESENTANTES DA SOCIEDADE CIVIL
ALIMENTAÇÃO ESCOLAR ;Maria Aparecida Imbeloni Henriques;Sociedade civil;Suplente;REPRESENTANTES DA SOCIEDADE CIVIL
ALIMENTAÇÃO ESCOLAR ;Maria Helena Cordeiro;Sociedade civil;titular;REPRESENTANTES DOS PAIS DE ALUNOS
ALIMENTAÇÃO ESCOLAR ;Fabiana Campista Angelo;Sociedade civil;Suplente;REPRESENTANTES DOS PAIS DE ALUNOS
ALIMENTAÇÃO ESCOLAR ;Érika Alves da Silva Ramos;Sociedade civil;titular;REPRESENTANTES DOS PAIS DE ALUNOS
ALIMENTAÇÃO ESCOLAR ;Cristiane dos Passos da Silva;Sociedade civil;Suplente;REPRESENTANTES DOS PAIS DE ALUNOS
ALIMENTAÇÃO ESCOLAR ;Helmar Amorim de Souza Oliveira;Sociedade civil;titular;REPRESENTANTES DE DOCENTES, DISCENTES OU TRABALHADORES NA ÁREA DE EDUCAÇÃO
ALIMENTAÇÃO ESCOLAR ;Odete Pereira da Rocha;Sociedade civil;Suplente;REPRESENTANTES DE DOCENTES, DISCENTES OU TRABALHADORES NA ÁREA DE EDUCAÇÃO
ALIMENTAÇÃO ESCOLAR ;Dalicéa Schueller dos Santos;Sociedade civil;titular;REPRESENTANTES DE DOCENTES, DISCENTES OU TRABALHADORES NA ÁREA DE EDUCAÇÃO
ALIMENTAÇÃO ESCOLAR ;Isabel Cristina Pinto Pinheiro;Sociedade civil;Suplente;REPRESENTANTES DE DOCENTES, DISCENTES OU TRABALHADORES NA ÁREA DE EDUCAÇÃO
Meio Ambiente e Saneamento;Carlos Ronald Macabu Arêas;Poder Público;Titular;Secretaria Municipal de Desenvolvimento Ambiental
Meio Ambiente e Saneamento;Roger Rangel Coutinho;Poder Público;Suplente;Secretaria Municipal de Desenvolvimento Ambiental
Meio Ambiente e Saneamento;Francisco Eduardo Leal;Poder Público;Titular;Secretaria Municipal de Infraestrutura e Mobilidade Urbana
Meio Ambiente e Saneamento;Cirabel Ribeiro Paes;Poder Público;Suplente;Secretaria Municipal de Infraestrutura e Mobilidade Urbana
Meio Ambiente e Saneamento;Ivan Lúcio Reis Fagundes;Poder Público;Titular;Coordenadoria da Defesa Civil Municipal
Meio Ambiente e Saneamento;Leandro Paiva Silva;Poder Público;Suplente;Coordenadoria da Defesa Civil Municipal
Meio Ambiente e Saneamento;Doménico de Souza Ribeiro;Poder Público;Titular;Empresa Municipal de Habitação- EMHAB
Meio Ambiente e Saneamento;André Luis da Silva Boviot;Poder Público;Suplente;Empresa Municipal de Habitação- EMHAB
Meio Ambiente e Saneamento;José Quintino Barreto Neto;Poder Público;Titular;Procuradoria Geral do Município
Meio Ambiente e Saneamento;Larissa Ferreira Rocha;Poder Público;Suplente;Procuradoria Geral do Município
Meio Ambiente e Saneamento;Hans Muylaert;Poder Público;Titular;Secretaria Municipal de Desenvolvimento Econômico
Meio Ambiente e Saneamento;Maria Aparecida Praxedes da Penha;Poder Público;Suplente;Secretaria Municipal de Desenvolvimento Econômico
Meio Ambiente e Saneamento;Tânia Márcia Ferreira Freitas;Poder Público;Titular;Superintendência de Ciências, Tecnologia e Inovação
Meio Ambiente e Saneamento;Lilian Neto Barroso;Poder Público;Suplente;Superintendência de Ciências, Tecnologia e Inovação
Meio Ambiente e Saneamento;Nildo Nunes Cardoso;Poder Público;Titular;Superintendência de Agricultura e Pecuária
Meio Ambiente e Saneamento;Gedison Canal Cesati;Poder Público;Suplente;Superintendência de Agricultura e Pecuária
Meio Ambiente e Saneamento;George Mendes Marinho;Sociedade civil;Titular;Conselho Regional de Engenharia e Agronomia- CREA-RJ
Meio Ambiente e Saneamento;Paulo Jorge Xavier de Souza;Sociedade civil;Suplente;Conselho Regional de Engenharia e Agronomia- CREA-RJ
Meio Ambiente e Saneamento;Ronaldo Bartholomeu dos Santos Filho;Sociedade civil;Titular;Sindicato Rural de Campos
Meio Ambiente e Saneamento;José do Amaral Ribeiro Gomes;Sociedade civil;Suplente;Sindicato Rural de Campos
Meio Ambiente e Saneamento;Ricardo Cabral da Cruz;Sociedade civil;Titular;Instituto Solar Brasil de Desenvolvimento, Saúde e Pesquisa - ISOBRAS
Meio Ambiente e Saneamento;Sandro Abreu Cezario;Sociedade civil;Suplente;Instituto Solar Brasil de Desenvolvimento, Saúde e Pesquisa - ISOBRAS
Meio Ambiente e Saneamento;Daniella Torres de Almeida Pereira;Sociedade civil;Titular;Fundação Centro Brasileiro de proteção e Pesquisas das Tartarugas Marinhas (PRO-TAMAR)
Meio Ambiente e Saneamento;Luis Maurício Nogueira de Andrade;Sociedade civil;Suplente;Fundação Centro Brasileiro de proteção e Pesquisas das Tartarugas Marinhas (PRO-TAMAR)
Meio Ambiente e Saneamento;Milton Erthal Junior;Sociedade civil;Titular;Universidade Cândido Mendes - UCAM
Meio Ambiente e Saneamento;Rodrigo Lira;Sociedade civil;Suplente;Universidade Cândido Mendes - UCAM
Meio Ambiente e Saneamento;Aprígio Barcelos;Sociedade civil;Titular;Associação Raízes
Meio Ambiente e Saneamento;Aline Iara Crissostomo Carvalho Rocha;Sociedade civil;Suplente;Associação Raízes
Meio Ambiente e Saneamento;Eraldo Mothé Barcelar da Silva;Sociedade civil;Titular;Fundação Norte Fluminense de Desenvolvimento Regional - FUNDERNOR
Meio Ambiente e Saneamento;Guilherme Nogueira de Aguiar;Sociedade civil;Suplente;Fundação Norte Fluminense de Desenvolvimento Regional - FUNDERNOR
Meio Ambiente e Saneamento;Vanda Terezinha Vasconcelos;Sociedade civil;Titular;Associação Fluminense de Medicina e Cirurgia
Meio Ambiente e Saneamento;Ricardo Venâncio Juliboni;Sociedade civil;Suplente;Associação Fluminense de Medicina e Cirurgia
POLÍTICA AGRÍCOLA E PECUÁRIA;Luisa Barreto Saramago;Poder Público;Titular;EMATER – RIO (Empresa Assistência Técnica Extensão Rural do Estado do Rio de Janeiro)
POLÍTICA AGRÍCOLA E PECUÁRIA;Luiz Carlos Teixeira Guimarães;Poder Público;Suplente;EMATER – RIO (Empresa Assistência Técnica Extensão Rural do Estado do Rio de Janeiro)
POLÍTICA AGRÍCOLA E PECUÁRIA;Carlos Frederico de Menezes Veiga;Poder Público;Titular;UFRRJ – Universidade Federal Rural do Rio de Janeiro
POLÍTICA AGRÍCOLA E PECUÁRIA;Tamys Luiz Fernandes;Poder Público;Suplente;UFRRJ – Universidade Federal Rural do Rio de Janeiro
POLÍTICA AGRÍCOLA E PECUÁRIA;Álvaro César Gomes Faria;Poder Público;Titular;Câmara Municipal de Campos dos Goytacazes
POLÍTICA AGRÍCOLA E PECUÁRIA;Jairo Videira Macedo;Poder Público;Suplente;Câmara Municipal de Campos dos Goytacazes
POLÍTICA AGRÍCOLA E PECUÁRIA;Carlos Ronald Macabu Arêas;Poder Público;Titular;Secretaria Municipal de Desenvolvimento Ambiental
POLÍTICA AGRÍCOLA E PECUÁRIA;Diogo Sodré Figueiredo Ferreira;Poder Público;Suplente;Secretaria Municipal de Desenvolvimento Ambiental
POLÍTICA AGRÍCOLA E PECUÁRIA;Carlos Roberto dos Santos Faria;Poder Público;Titular;Ministério da Agricultura, Pecuária e Abastecimento – Campos dos Goytacazes – SFA/RJ
POLÍTICA AGRÍCOLA E PECUÁRIA;Jorge Luis de Souza Crespo;Poder Público;Suplente;Ministério da Agricultura, Pecuária e Abastecimento – Campos dos Goytacazes – SFA/RJ
POLÍTICA AGRÍCOLA E PECUÁRIA;Vera Cardoso de Melo;Poder Público;Titular;Secretaria Municipal de Saúde
POLÍTICA AGRÍCOLA E PECUÁRIA;Ricardo Andrade Corrêa;Poder Público;Suplente;Secretaria Municipal de Saúde
POLÍTICA AGRÍCOLA E PECUÁRIA;Leandro Ramos Barreto;Poder Público;Titular;Secretaria Municipal de Agricultura
POLÍTICA AGRÍCOLA E PECUÁRIA;Gedison Cesati Canal;Poder Público;Suplente;Secretaria Municipal de Agricultura
POLÍTICA AGRÍCOLA E PECUÁRIA;Wagner de Paula Almeida Pereira;Poder Público;Titular;Secretaria Municipal de Educação, Cultura e Esporte - SMECE
POLÍTICA AGRÍCOLA E PECUÁRIA;Lucimara Alves de Souza dos Santos;Poder Público;Suplente;Secretaria Municipal de Educação, Cultura e Esporte - SMECE
POLÍTICA AGRÍCOLA E PECUÁRIA;Danielle da Cunha Lessa Quilici;Poder Público;Titular;Secretaria Municipal de Desenvolvimento Humano e Social - SMDHS
POLÍTICA AGRÍCOLA E PECUÁRIA;Márcia Valéria Soares Assed;Poder Público;Suplente;Secretaria Municipal de Desenvolvimento Humano e Social - SMDHS
POLÍTICA AGRÍCOLA E PECUÁRIA;Marcel Cardoso e Cardoso;Poder Público;Titular;CODEMCA – Companhia do Desenvolvimento do Município de Campos dos Goytacazes
